CT12341234
70 105
1	2	a
1	5	a
1	9	b
2	3	a
2	12	b
3	4	a
3	15	b
4	5	a
4	18	b
5	6	b
6	7	c
6	20	c
7	8	d
7	22	e
8	9	c
8	25	e
9	10	c
10	11	d
10	26	e
11	12	c
11	29	e
12	13	c
13	14	d
13	30	e
14	15	c
14	33	e
15	16	c
16	17	d
16	34	e
17	18	c
17	37	e
18	19	c
19	20	d
19	38	e
20	21	e
21	22	f
21	40	g
22	23	g
23	24	h
23	42	g
24	25	g
24	45	g
25	26	f
26	27	g
27	28	h
27	46	g
28	29	g
28	49	g
29	30	f
30	31	g
31	32	h
31	50	g
32	33	g
32	53	g
33	34	f
34	35	g
35	36	h
35	54	g
36	37	g
36	57	g
37	38	f
38	39	g
39	40	h
39	58	g
40	41	g
41	42	f
41	60	e
42	43	e
43	44	d
43	61	c
44	45	e
44	64	c
45	46	f
46	47	e
47	48	d
47	64	c
48	49	e
48	65	c
49	50	f
50	51	e
51	52	d
51	65	c
52	53	e
52	68	c
53	54	f
54	55	e
55	56	d
55	68	c
56	57	e
56	69	c
57	58	f
58	59	e
59	60	d
59	69	c
60	61	c
61	62	b
62	63	a
62	70	a
63	64	b
63	66	a
65	66	b
66	67	a
67	68	b
67	70	a
69	70	b
M  END
$$$$
